"","Epithelial...AT1","Epithelial...AT2","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Goblet","Epithelial...Ionocyte","Epithelial...Mucous","Epithelial...Myoepithelial","Epithelial...Neuroendocrine","Epithelial...Resp.Airway.Secretory","Epithelial...Secretory","Epithelial...Serous","Epithelial...SMG.Basal.Duct","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...NK.NKT","Lymphoid...Plasma.celll","Lymphoid...Regulatory.T.cell","Myeloid...Alveolar.Macrophage","Myeloid...cDC1","Myeloid...cDC2","Myeloid...Inflammatory.Monocyte","Myeloid...maDC","Myeloid...Mast.Basophil","Myeloid...Neutrophil","Myeloid...Patrolling.Monocyte","Myeloid...pDC"
"sample_11",0.0753528556234232,0.0647476726877885,0.0701408450379062,0.0616937036951542,0.0266433732247853,0.0279742583546084,0.0723576395266991,0.0669752845601785,0.0453071693622632,0,0,0,0.0813853361026219,0.0428216745626012,0.0327967903550156,0,0.0530646445397736,0.021750151096324,0.0284211344432973,0,0.0339085306072474,0.0185143809652349,0.0254331270327697,0.0322167032319858,0.0119306925517766,0,0.0499120723868857,0.0566519600516597
"sample_12",0.00941271178367846,0.0187605116206804,0.0223020490589109,0.0131738925329244,0.0151766694614667,0.0163220041686251,0.0245644149040426,0.0164910691667234,0.0129456882792973,0.0324243051037777,0,0.0101259717197285,0.0472309088338497,0.0207114962032445,0.014118442268362,0.0524033519996632,0.0163283825512703,0.0322282239076782,0.0128457289974122,0.246712789776656,0.0276510973380602,0.0403386495432522,0.0373085206483283,0.0109992706201719,0.0190242448735158,0.0055710675978276,0.203552417644997,0.0212761193958557
"sample_13",0.0759228962239987,0.0652431326729479,0.0717492040722436,0.062923066185666,0.0380594108646967,0.0353112955365446,0.0757572105980649,0.0617156834720939,0.0466832931872543,0,0,0,0.0705697371118294,0.0390638448033267,0.0457919726392995,0,0.0524995674893664,0.0241301207082817,0.0193605050535388,0,0.0415582998728812,0.00893409257892007,0.0221892815921258,0.0299815245041644,0.0124653282623217,0,0.0400486909340795,0.0600418416363541
"sample_14",0.0285428138017276,0.0466741482803974,0.0478556499278804,0.0192409808993527,0.0211676895670169,0.0153622465819518,0.0408832391432108,0.032080360138393,0.0222624393768552,0.05128322636948,0,0.00829377719185897,0.0576397534135195,0.0113170482489792,0.00629192822929883,0.0435991504286129,0.0207318638148599,0.0229639916495818,0.0190843763524581,0.184508362646354,0.032012383196698,0.0084527395033268,0.0628127594549759,0.0138156688421026,0.0177284212708498,0.000251007677282685,0.136826173883202,0.0283178001097732
"sample_15",0.0880006431203791,0.0726419504519569,0.0639610884768306,0.0940920738406099,0.0255538399420377,0.0320501133537596,0.0506171745351866,0.0522705051212553,0.0307848939559419,0,0.0111885803216934,0.0167317028080522,0.048700703402727,0.057369967969921,0.0548927812610012,0,0.0340427118853639,0.0364963082828989,0.0289132871456134,0.00127875065442811,0.035857141375385,0.0183034028292558,0.0193660355409133,0.0264877527791198,0.0187320359366642,0,0.0379434996774215,0.0437230553315836
"sample_16",0.0960072654617556,0.0824593523732112,0.0467871786339654,0.0862517409394339,0.00821815613760377,0.0344171840791464,0.0447828578096286,0.0356894337304159,0.0379138940970262,0,0.0339824864262456,0.00475861004702581,0.0424871983433869,0.0690469830224097,0.069355896417198,0,0.0303650419915524,0.0458172839521734,0.0356433210955322,0.00464863643417302,0.036142143145136,0.0158754185265029,0.0364726241988244,0.0243506455468949,0.0287956178967489,0.00655000306596505,0.019432017016124,0.0237490096119197
"sample_17",0.0690334807906403,0.0550350943962761,0.0657929397432471,0.0856957069811619,0.0447999098575223,0.0291244022234126,0.0615634877321612,0.0564209271235567,0.0392237827814361,0,0.019630850123718,0.0146142625406251,0.057829468896399,0.0366040894708306,0.0444042352349528,0,0.0428037407252028,0.0273024093342826,0.0329628190642645,0.00526317723056353,0.0408680815150185,0.0142443000050545,0.0247209802684523,0.0224877067830287,0.0174659259270013,0,0.0509257375862322,0.0411824836649593
"sample_18",0.0531717205765037,0.0418016979175947,0.0406311551226679,0.0716386399880351,0.0582483924333702,0.0201409241593582,0.0279961293647209,0.0528188634913737,0.036051399582049,0,0.00241685259903522,0.0119486904459273,0.0555935792981041,0.0241584958381359,0.0280062415226927,0.0299125325756317,0.0369091612425842,0.0277584736451592,0.0269056942108961,0,0.0306144780985865,0,0.0806672128243399,0.0255936249652154,0.0227895406822433,0.0825909534275867,0.0750344633425367,0.0366010826456518
"sample_19",0.0802665131918962,0.0554105402251215,0.0676960752047459,0.0741363263602491,0.0289492562741299,0.0302106011543791,0.0753511727238963,0.0592853461661835,0.0454413020351126,0,0,0,0.0741458008293687,0.0519804024601942,0.0274163864895904,0,0.0514043885807305,0.0251407695740622,0.0397613588619194,0,0.0366585155446628,0.0122942876173287,0.0181822409583322,0.0275715797617337,0.0146797877693836,0,0.0528878774343534,0.0511294707826263
"sample_20",0.0638300835466866,0.0351427483548911,0.081053432934024,0.0475086008037914,0.0374247648364602,0.0333231268628288,0.0810871181579256,0.053956845825208,0.0464617145016033,0.0274278028192299,0,0,0.123989878432506,0.0149483018006268,0.0135915220061265,0.00739586951026303,0.0526969661338255,0.00800413157956168,0.0175234325386539,0,0.0448361468484796,0,0.033553451406334,0.0363634503590463,0.00532301516359815,0,0.0635955436667131,0.0709620519116168
"sample_21",0.0278595984208466,0.0338565252787645,0.0399185501532553,0.0281342542576977,0.0339386427022992,0.0195055101994041,0.0377338888165886,0.0354136215100259,0.0267446132292115,0.0126561551226685,0,0.0185927470792618,0.051322690775906,0.0250882164937432,0.0180195959205873,0.0478035364367082,0.0210139352727925,0.0347855126606661,0.00890898610897012,0.105003622881564,0.0244810633108974,0.0433361755634346,0.0536360553456607,0.0231568332341535,0.0249853054464325,0.0177458819490063,0.153229565103357,0.0331289167260972
"sample_22",0.0744125019382509,0.057480321065493,0.0574916988776041,0.0644668551388334,0.0421450614952806,0.031319126354337,0.0679582197788721,0.0633125564636853,0.0463224148632491,0,0.00100763539627385,0,0.064313040874946,0.038862568904239,0.0326150797009617,0,0.0516201477255381,0.0280800280982822,0.0315181836819151,0.00806283916894339,0.0365566415578829,0.0142298997914317,0.036921588523367,0.0321054781750461,0.021188798483286,0,0.0509428642289445,0.047066449713337
"sample_23",0.0631752121472441,0.0415970458674206,0.0556214098165182,0.080343890000377,0.0854562021360633,0.0193874091197936,0.0325672085536731,0.0486882751758851,0.0262939282735928,0,0,0.000598612375767212,0.0893833835587354,0.0252692335451931,0.0224799773742392,0.00712771626672369,0.0392109017943368,0.028410099195646,0.0348900612706972,0,0.0236007457969249,0.0204686507918948,0.0634091615769803,0.0364736981075841,0.0121162057546904,0.0556729748647215,0.0586110379065679,0.0291469587287298
"sample_24",0.0968885687505422,0.0804403213672597,0.0502718141892615,0.0880135176087173,0,0.0280145392336924,0.0482374171319924,0.0340548570151466,0.0487636568607482,0,0,0.0102889730690636,0.053962481403223,0.0725219533355309,0.0909008051702513,0,0.030300491734635,0.0468153465213563,0.0324561137264561,0,0.0417952342567144,0.0214164575328934,0.0240200191082233,0.0189271049449381,0.0272812631298315,0,0.0189407258628035,0.0356883380467193
"sample_25",0.0797804221641057,0.0664512400248009,0.0819244913839373,0.0638099709263899,0.00737258849458554,0.0299488134101419,0.0711050137337764,0.0529324228505984,0.0461869189675234,0,0,0,0.0829942666676469,0.0435369138550851,0.0276541360664887,0.00880044009891079,0.0479204749756133,0.0222270506910626,0.0217270969884512,0.00296219388613664,0.037759192894398,0.000546306787039697,0.0515349652654724,0.0354953282844519,0.0256788314963515,0,0.0514063453302558,0.040244574756776
"sample_26",0.0884541652751182,0.0691365900766429,0.0572339293817082,0.0813456957456311,0.0199488864492886,0.0326879003791109,0.0722394598159001,0.0531701300838009,0.0419723050943046,0,0.00217436858924935,0,0.0529037408552416,0.0578093954926696,0.0575575501133166,0,0.0476635376421591,0.0412494157720743,0.0311775136538606,0.000620667831773332,0.0371524443022336,0.0164621742274885,0.0132229681014338,0.0245518046436571,0.019336655791784,0,0.0350838297930288,0.0468448708885241
