"","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Club","Epithelial...Deuterosomal","Epithelial...Duct","Epithelial...Goblet","Epithelial...Hillock","Epithelial...Secretory","Epithelial...Squamous","Epithelial...Transitional","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...Naive.T.cell","Lymphoid...NK.NKT","Myeloid...Dendritic","Myeloid...Macrophage","Myeloid...Mast","Myeloid...Monocyte","Myeloid...Neutrophil"
"sample_31",0.053355137271132,0.0413517840831609,0,0.0467861830742392,0.0459521755745954,0.120273746434724,0.0591223026454499,0.132656660465463,0.0812096469602302,0.0360994015428012,0.0316784906060497,0.042912312880617,0.0260139841529311,0.0144523789108689,0.0542123998129868,0.0546444555218812,0.08389465396101,0.0179780664591413,0.0289733168219524,0.0284329028207661
"sample_32",0.00655978944868634,0.0173849545917287,0,0.0588087893133268,0.0108802748594505,0.023801112389083,0.0457841549968452,0.116651519536595,0.079991660275216,0,0.0310558323931084,0.0486242428142617,0.0405464267758333,0.018530065629984,0.0658096051560184,0.073148333088376,0.0238556660957593,0.0270960820169502,0.0633847904015041,0.248086700217273
"sample_33",0.0370015829686845,0.077783709893641,0.0369680886194677,0.16242799356963,0,0.151785355223038,0.0351156159236213,0.100914483973594,0.0431482607034329,0.0460460492704266,0.0272583068772964,0.0442701521829434,0.0236079737054762,0.011734808555352,0.0492388319159896,0.0515705857563189,0.050464249405573,0.015078011084417,0.023336201484223,0.012249738886875
"sample_34",0.00308349767180092,0.00623900319936792,0,0.0379250811621727,0.00985829996209697,0.120209228295071,0.129150268703813,0.074225782221908,0.0851881088795426,0.0433732915330533,0.0267952004116607,0.0312918255938601,0.029755321968634,0.0175762266328284,0.0421637644845929,0.0471033000466481,0.0906005995216998,0.0154026804478247,0.0460458374623794,0.144012681801045
"sample_35",0.0271849320517384,0.0104384986440083,0,0.0687007980254234,0.016164947566675,0.205071974932047,0.024867317621822,0.167706054580792,0.0609354415217139,0.109273885327616,0.0283026024155795,0.0398034542134978,0.00911707837697615,0.0106531712583664,0.0413864093323287,0.0508992480227512,0.0697396550924683,0.0227934112234718,0.0170241541382671,0.0199369656544562
"sample_36",0.0385667101757309,0.0181357539140641,0,0.0542086153988138,0,0.289182760713578,0.0255772048657487,0.0693373671103734,0.0758776634258054,0.070659961183022,0.0341681659635516,0.0396395404723632,0.0465575401270974,0.00219999524592849,0.078406945979976,0.0475938907419163,0.0634851378033549,0.00912635443108852,0.024165447520043,0.0131109449275448
"sample_37",0.0198175321561433,0.134889122488814,0,0.046355323738631,0,0.0327999053622671,0.0866540434213033,0.0773119980507437,0.0577942128644852,0.039778290392721,0.0408962082716062,0.0501425730879385,0.0383110801594447,0,0.0495704054204267,0.0430568244938056,0.0758537235329234,0.0215739656680653,0.0377592715558982,0.147435519334783
"sample_38",0.0184724697821859,0.0168592635825204,0,0.0513487340854744,0.0256804251475326,0.0941388271486681,0.0682202663989012,0.210298684000328,0.105130232231313,0,0.0193766196214316,0.0399759242459551,0.0308707781169084,0.0158862759719497,0.0380047601962374,0.0582280717552477,0.117168289560734,0.0229752658693707,0.0148002633469315,0.0525648489383111
"sample_39",0.00197739503653898,0,0,0.042866083518995,0.111608117839184,0.181746520381899,0.0223964635524304,0.0609557856951763,0.0915578635178982,0.102761634888938,0.0241595296529639,0.0235274405505881,0.035344025947063,0.0277135759692929,0.0342891392682983,0.0334624223406316,0.0323652745467287,0.0164395837786941,0.0578289803456813,0.0990001631689983
"sample_40",0.011217956845427,0.0376657935844869,0,0.078407161559141,0,0.0247044847991267,0.0388958212922166,0.185821400502174,0.0413028389826015,0.00425599411885888,0.0678487428737452,0.0532919701036724,0.00565978414468622,0.0140054600489574,0.137091219783106,0.0688366301512027,0.0787915543672469,0.0749951203557521,0,0.0772080664875987
"sample_41",0.058999298847639,0.115286548692879,0.0244788754573936,0.045904565160161,0,0.0980893410457282,0.0992003756810921,0.135088102976241,0.0599845679121116,0.0913531563555947,0.0321205390746097,0.0351186512250557,0.0188185271870867,0.00994885254404113,0.0411569121742557,0.0520483547964541,0.0277333019720448,0.0178344225443383,0.0146088999835096,0.0222267063697643
"sample_42",0.046560438398866,0.0565961855467457,0,0.0467054700712879,0,0.139110125453563,0.0418827822076985,0.127016423190826,0.161304143246149,0.0824859807369995,0.0326725818833034,0.0335646238790013,0.0201030629376641,0.0104827227177227,0.050442399129129,0.0383917871287614,0.0661338864935374,0.0148317632707816,0.0148365731911872,0.016879050516776
"sample_43",0.0299548529485698,0.0359927973840057,0,0.115119932232673,0.0398009366769318,0.0681273780849236,0.0198962837041708,0.22008043172852,0.0341831153816138,0.00397884471249955,0.0404345826463813,0.0611524059425297,0.0270631737679141,0.00072187916320415,0.0929024856291649,0.0932498716957542,0.0531815068251585,0.0298607016485714,0.00445161935173779,0.0298472004756759
"sample_44",0.00376470065890478,0.0506840845365949,0.00997998336169954,0.0766518107331834,0.0114940237696784,0.157970636826814,0.0930005531951748,0.080629741565766,0.0713662514958837,0.0290027080382609,0.0378461283688392,0.0513270510082426,0.0397219219386637,0,0.0826131953907165,0.0601332265151913,0.058563212328356,0.0155934354613794,0.0415060054675201,0.0281513293391312
"sample_45",0.0797441646741116,0.172612124388305,0.0365226482610894,0.121685209913298,0,0,0.0170283431019732,0.0767509625095067,0.0244450553071395,0.191540046403091,0.0385273617388616,0.035130753348007,0.0216868829463995,0.0177469692578278,0.0429866111062234,0.0468578541007023,0.0400275808981074,0.0162046386108409,0.00848387183965415,0.0120189215948618
"sample_46",0.0122502048070585,0.0282109395767766,0.00204564642597176,0.051967271427966,0.023516752031808,0.041138497190633,0.0724705799753607,0.0481179267830704,0.17020567190422,0.0302147866520396,0.0307542471883561,0.0368053871506469,0.0664635399213714,0.00521905298004848,0.0759661502754751,0.053460364863713,0.061479723475222,0.0117158899169428,0.0882753381387855,0.0897220293145339
"sample_47",0.0342027183643481,0.072341301630354,0.0286092758822206,0.117018573988289,0.0220315471423115,0.110417977717051,0.0350085823844983,0.0752398598883943,0.0614062799720751,0.141242767215374,0.0325075840994213,0.0402018617575774,0.0190785010915336,0.0178031174922616,0.0434683152926311,0.0518077734849426,0.0461647187912637,0.0157743839464078,0.0143747449588727,0.0213001149001728
"sample_48",0.0329836839237002,0.0463513498267473,0.0358837942674465,0.0410169823368607,0.0189900877515764,0.112321471275823,0.0169975271008184,0,0.0202720372957287,0,0.0185695563498507,0.045743559396595,0.0973334925361941,0.0117148092430951,0.0679467339371772,0.0692415204177713,0.0481991671276908,0.00432406270026931,0.128550923987632,0.183559240525023
"sample_49",0.0378755259081724,0.03076713516357,0,0.0637243287067153,0.0070494558743807,0.216166001455227,0.0157365924597964,0.195974131735437,0.0658342178893082,0.0609788977225095,0.0278569266658604,0.049722698357827,0.0299805549178198,0.00232954751560785,0.0546658383580417,0.047150213390698,0.0450102085319733,0.0175103871575572,0,0.0316673381894981
"sample_50",0.0466267573286101,0.0110742337421524,0.0360982482427273,0.0719999335937362,0.0283388677485793,0,0,0.0477453530481491,0.377261555816391,0.0439652866848792,0.0224555867238185,0.0567467931976537,0.0375026625209237,0,0.0614370686266295,0.0681002292545819,0.0334591041456667,0.0138554089832991,0.00793979104629523,0.0353931192959073
"sample_51",0.0485304814939644,0.142023078988289,0.00890260405804677,0.0829131863239914,0.00718877241975636,0.0432581555591985,0.0670714394157144,0.102098983620267,0.0485007586292058,0.0628710866281218,0.0369921746062385,0.0395643954619469,0.0347003766166191,0.0195543434014392,0.0566389893668006,0.0598004557448221,0.0565935541623094,0.021524913786573,0.0248525033752532,0.0364197463414422
"sample_52",0.0176211478958021,0,0,0.0745940308155331,0.0648309239673376,0.199490957991987,0.01387715329446,0.106849304536013,0.0404194367102775,0.0911378951746926,0.0262973481392028,0.040566059393722,0.0406253651905539,0.0102941596171791,0.0469170069981062,0.0614819226587318,0.0364221787409276,0.0186567193927174,0.0219696343190021,0.0879487551637543
"sample_53",0.0537453383031331,0.0547322675501472,0.0294015169522941,0.0807307674764434,0,0.105891078115843,0.0805628069929365,0.129193129857921,0.0401133875306029,0.0961028268777921,0.0380259819451615,0.0393735686641874,0.0284810749688718,0.0177390739951955,0.0481780023583381,0.0578886638923572,0.0359491743922719,0.0219012296584925,0.0186957596305321,0.0232943508374788
"sample_54",0.0497220708062984,0.0679229752524712,0.00617271862258267,0.0679477122568289,0.0214231049258138,0.100702198382023,0.0647494924868266,0.157130966908705,0.0390464273119062,0.0529088211118086,0.0383948953700102,0.0459312161471484,0.0371767310264186,0.0152649466607453,0.0546584028893361,0.0586921996694834,0.0491778491411764,0.0209210997613491,0.0227478645393989,0.0293083067296691
"sample_55",0.0412328594862811,0.111968904749688,0.0178066383146032,0.0836167502114394,0.00571232945607093,0.0917455778863333,0.00847589438664122,0.111741419896358,0.0330479431524922,0.1453346388814,0.040310108984463,0.0359860556784803,0.0364082279841458,0.0211986133439164,0.0475199530714998,0.0537566984087587,0.0552832063823494,0.0190720789406058,0.0203309809672527,0.0194511198172205
"sample_56",0.0179013747269104,0.0990607735497533,0.0274371270624058,0.0882798743272672,0,0.138986749255337,0.0106983499842023,0.0930312097073176,0.0509930296353632,0.116299951243194,0.0353620131253211,0.0393866402647542,0.0286593918945201,0.0134707095992959,0.0567646239296518,0.0505026772722933,0.0540792149851286,0.0189237699751901,0.0233054104184954,0.0368571090435981
